,SKILLID,PREFERREDLABEL,SKILLGROUPLABEL,SKILLGROUPID
266,687671b4ebd2bf665349a73b,produce materials for decision making,"preparing financial documents, records, reports, or budgets",687671b3ebd2bf665349a5a9
267,687671b4ebd2bf665349a73c,manage hospital-acquired infections,"providing medical, dental and nursing care",687671b3ebd2bf665349a545
268,687671b4ebd2bf665349a73d,coordinate manufacturing production activities,planning events and programmes,687671b3ebd2bf665349a5de
269,687671b4ebd2bf665349a73e,inspect airfield facilities,monitoring safety or security,687671b3ebd2bf665349a4a7
270,687671b4ebd2bf665349a73f,extrusion processes,mechanics and metal trades,687671b3ebd2bf665349a433
271,687671b4ebd2bf665349a740,supervise employees in food production plants,supervising a team or group,687671b3ebd2bf665349a59d
272,687671b4ebd2bf665349a741,fabricate V-belts,assembling and fabricating products,687671b3ebd2bf665349a562
273,687671b4ebd2bf665349a742,repair insulating tube winding machinery,repairing and installing mechanical equipment,687671b3ebd2bf665349a4a3
274,687671b4ebd2bf665349a743,check carriages,"cleaning tools, equipment, workpieces and vehicles",687671b3ebd2bf665349a551
275,687671b4ebd2bf665349a744,operate patients with thoracic diseases,performing surgical procedures,687671b3ebd2bf665349a5fb
276,687671b4ebd2bf665349a745,assess environmental influences on bovine feet,advising on environmental issues,687671b3ebd2bf665349a496
277,687671b4ebd2bf665349a746,prepare facade cladding,installing floor and wall coverings,687671b3ebd2bf665349a56f
278,687671b4ebd2bf665349a747,typology of meat parts,food processing,687671b3ebd2bf665349a438
279,687671b4ebd2bf665349a748,solar energy,electricity and energy,687671b3ebd2bf665349a431
280,687671b4ebd2bf665349a749,eating disorders,psychology,687671b2ebd2bf665349a3e7
281,687671b4ebd2bf665349a74a,operate crosscut saw,cutting materials and drilling holes,687671b3ebd2bf665349a543
282,687671b4ebd2bf665349a74b,put adhesive on plies,appyling textured or masonry coatings,687671b3ebd2bf665349a609
283,687671b4ebd2bf665349a74c,customer insight,marketing and advertising,687671b2ebd2bf665349a3fb
284,687671b4ebd2bf665349a74d,crimping,mechanics and metal trades,687671b3ebd2bf665349a433
285,687671b4ebd2bf665349a74e,handle bulk transfer of raw material,operating machinery for the extraction and processing of raw materials,687671b3ebd2bf665349a4fb
286,687671b4ebd2bf665349a74f,critique the dive with the dive team,giving feedback,687671b3ebd2bf665349a4c9
287,687671b4ebd2bf665349a750,monitor crops,cultivating land and crops,687671b3ebd2bf665349a5ad
288,687671b4ebd2bf665349a751,use CAD for soles,using computer aided design and drawing tools,687671b3ebd2bf665349a5a6
289,687671b4ebd2bf665349a752,create 3D environments,"designing industrial materials, systems or products",687671b3ebd2bf665349a5c7
290,687671b4ebd2bf665349a753,perform online data analysis,"managing, gathering and storing digital data",687671b3ebd2bf665349a538
291,687671b4ebd2bf665349a754,create floor plan template,making patterns and templates,687671b3ebd2bf665349a4aa
292,687671b4ebd2bf665349a755,test paper production samples,testing and analysing substances,687671b3ebd2bf665349a5e2
293,687671b4ebd2bf665349a756,manage land resources permits,"preparing documentation for contracts, applications, or permits",687671b3ebd2bf665349a4bf
294,687671b4ebd2bf665349a757,manage IT security compliances,"managing, gathering and storing digital data",687671b3ebd2bf665349a538
295,687671b4ebd2bf665349a758,negotiate with suppliers for visual material,negotiating and managing contracts and agreements,687671b3ebd2bf665349a4a6
296,687671b4ebd2bf665349a759,manage process of flexographic print,operating print and photographic production equipment,687671b3ebd2bf665349a5f7
297,687671b4ebd2bf665349a75a,electrical mine machinery manuals,mining and extraction,687671b3ebd2bf665349a43b
298,687671b4ebd2bf665349a75b,footwear finishing techniques,"textiles (clothes, footwear and leather)",687671b3ebd2bf665349a43a
299,687671b4ebd2bf665349a75c,load animals for transportation,moving and herding animals,687671b3ebd2bf665349a618
300,687671b4ebd2bf665349a75d,perform venepuncture procedures,performing surgical procedures,687671b3ebd2bf665349a5fb
301,687671b4ebd2bf665349a75e,load film,"loading and unloading goods and, materials",687671b3ebd2bf665349a536
302,687671b4ebd2bf665349a75f,handle refrigerant transfer pumps,operating pumping systems or equipment,687671b3ebd2bf665349a54e
303,687671b4ebd2bf665349a760,collect dead fish,tending and breeding aquatic animals,687671b3ebd2bf665349a605
304,687671b4ebd2bf665349a761,design sprinkler systems,"designing industrial materials, systems or products",687671b3ebd2bf665349a5c7
305,687671b4ebd2bf665349a762,identify statistical patterns,analysing scientific and medical data,687671b3ebd2bf665349a5b9
306,687671b4ebd2bf665349a763,surgical instruments,medicine,687671b3ebd2bf665349a45d
307,687671b4ebd2bf665349a764,measure sugar refinement,measuring dimensions and related properties,687671b3ebd2bf665349a4ca
308,687671b4ebd2bf665349a765,carry out products preparation,assembling and fabricating products,687671b3ebd2bf665349a562
309,687671b4ebd2bf665349a766,teach archaeology,teaching academic or vocational subjects,687671b3ebd2bf665349a4e5
310,687671b4ebd2bf665349a767,operate oil pumping systems,operating pumping systems or equipment,687671b3ebd2bf665349a54e
311,687671b4ebd2bf665349a768,operate middlings purifier,operating food processing machinery,687671b3ebd2bf665349a5dd
312,687671b4ebd2bf665349a769,understand the animal's situation,tending and breeding animals,687671b3ebd2bf665349a614
313,687671b4ebd2bf665349a76a,molecular and cellular immunology,biology,687671b2ebd2bf665349a40b
314,687671b4ebd2bf665349a76b,perform a feasibility study on mini wind power,analysing business operations,687671b3ebd2bf665349a612
315,687671b4ebd2bf665349a76c,monitor curriculum implementation,monitoring operational activities,687671b3ebd2bf665349a4b4
316,687671b4ebd2bf665349a76d,harvest grapes,"planting, pruning and harvesting trees, crops and other plants",687671b3ebd2bf665349a56e
317,687671b4ebd2bf665349a76e,identify the dietetic professional quality of care,verifying identities and documentation,687671b3ebd2bf665349a608
318,687671b4ebd2bf665349a76f,monitor tank thermometer,installing wooden and metal components,687671b3ebd2bf665349a53b
319,687671b4ebd2bf665349a770,workplace sanitation,community sanitation,687671b3ebd2bf665349a47b
320,687671b4ebd2bf665349a771,operate centrifuges,operating machinery for the extraction and processing of raw materials,687671b3ebd2bf665349a4fb
321,687671b4ebd2bf665349a772,organise harvests,planning production processes,687671b3ebd2bf665349a60a
322,687671b4ebd2bf665349a773,transfer kiln-baked products,"loading and unloading goods and, materials",687671b3ebd2bf665349a536
323,687671b4ebd2bf665349a774,remove snow from airport operational areas,cleaning outdoor spaces,687671b3ebd2bf665349a4f6
324,687671b4ebd2bf665349a775,deal with unforeseen incidents in hospitality,developing solutions,687671b3ebd2bf665349a5a1
325,687671b4ebd2bf665349a776,maintain cutting equipment,installing wooden and metal components,687671b3ebd2bf665349a53b
326,687671b4ebd2bf665349a777,wet tumbling,mechanics and metal trades,687671b3ebd2bf665349a433
327,687671b4ebd2bf665349a778,calculate optimal time for insemination,performing calculations,687671b3ebd2bf665349a622
328,687671b4ebd2bf665349a779,translate keywords into full texts,entering and transforming information,687671b3ebd2bf665349a58c
329,687671b4ebd2bf665349a77a,lead the dental team,supervising a team or group,687671b3ebd2bf665349a59d
330,687671b4ebd2bf665349a77b,sterilise working environment,"cleaning tools, equipment, workpieces and vehicles",687671b3ebd2bf665349a551
331,687671b4ebd2bf665349a77c,keywords in digital content,computer use,687671b2ebd2bf665349a424
332,687671b4ebd2bf665349a77d,apply related sciences to music therapy,providing psychological and occupational therapies,687671b3ebd2bf665349a50d
333,687671b4ebd2bf665349a77e,legal studies,law,687671b2ebd2bf665349a401
334,687671b4ebd2bf665349a77f,alter management,management skills,687671b3ebd2bf665349a4c1
335,687671b4ebd2bf665349a780,theoretical lexicography,literature and linguistics,687671b2ebd2bf665349a3da
336,687671b4ebd2bf665349a781,handle children's problems,caring for children,687671b3ebd2bf665349a585
337,687671b4ebd2bf665349a782,operate grease gun,using hand tools,687671b3ebd2bf665349a546
338,687671b4ebd2bf665349a783,demonstrate proficiency in packaging standards,packaging objects,687671b3ebd2bf665349a578
339,687671b4ebd2bf665349a784,advise on consumer rights,"advising on legal, regulatory or procedural matters",687671b3ebd2bf665349a617
340,687671b4ebd2bf665349a785,model medical devices,using computer aided design and drawing tools,687671b3ebd2bf665349a5a6
341,687671b4ebd2bf665349a786,mark film reels,marking materials or objects for identification,687671b3ebd2bf665349a4ea
342,687671b4ebd2bf665349a787,energy market,electricity and energy,687671b3ebd2bf665349a431
343,687671b4ebd2bf665349a788,engineer seismic equipment,"designing industrial materials, systems or products",687671b3ebd2bf665349a5c7
344,687671b4ebd2bf665349a789,stack timber,storing goods and materials,687671b3ebd2bf665349a60e
345,687671b4ebd2bf665349a78a,manage a healthcare unit budget,managing budgets or finances,687671b3ebd2bf665349a4bc
346,687671b4ebd2bf665349a78b,cultivate crops for biomass,cultivating land and crops,687671b3ebd2bf665349a5ad
347,687671b4ebd2bf665349a78c,use experience map,"managing, gathering and storing digital data",687671b3ebd2bf665349a538
348,687671b4ebd2bf665349a78d,protection from natural elements,natural environments and wildlife,687671b2ebd2bf665349a411
349,687671b4ebd2bf665349a78e,general principles of food law,food processing,687671b3ebd2bf665349a438
350,687671b4ebd2bf665349a78f,manage technical aspects of vineyard production,directing operational activities,687671b3ebd2bf665349a56b
351,687671b4ebd2bf665349a790,balance hydraulics of hot water systems,performing calculations,687671b3ebd2bf665349a622
352,687671b4ebd2bf665349a791,use a water-fed pole system,cleaning interior and exterior of buildings,687671b3ebd2bf665349a5e8
353,687671b4ebd2bf665349a792,manage sport facility finances,managing budgets or finances,687671b3ebd2bf665349a4bc
354,687671b4ebd2bf665349a793,identify information needs of young people,"communication, collaboration and creativity",687671b3ebd2bf665349a59e
355,687671b4ebd2bf665349a794,mergers and acquisitions,management and administration,687671b2ebd2bf665349a3fa
356,687671b4ebd2bf665349a795,manage government-funded programmes,"directing, supervising and coordinating projects",687671b3ebd2bf665349a4bb
357,687671b4ebd2bf665349a796,horse racing regulation,protection of persons and property,687671b3ebd2bf665349a481
358,687671b4ebd2bf665349a797,captioning software,software and applications development and analysis,687671b3ebd2bf665349a426
359,687671b4ebd2bf665349a798,place orders for clothing merchandise,purchasing goods or services,687671b3ebd2bf665349a534
360,687671b4ebd2bf665349a799,operate tissue sheet binder,operating machinery for the manufacture of products,687671b3ebd2bf665349a4ba
361,687671b4ebd2bf665349a79a,provide medicines information,,
362,687671b4ebd2bf665349a79b,cooperate with education professionals,developing professional relationships or networks,687671b3ebd2bf665349a571
363,687671b4ebd2bf665349a79c,insert semen,providing therapy or veterinary treatment for animals,687671b3ebd2bf665349a542
364,687671b4ebd2bf665349a79d,technical equipment for crop production,crop and livestock production,687671b3ebd2bf665349a44a
365,687671b4ebd2bf665349a79e,operate warehouse materials,operating lifting or moving equipment,687671b3ebd2bf665349a595
366,687671b4ebd2bf665349a79f,normalise data,"managing, gathering and storing digital data",687671b3ebd2bf665349a538
367,687671b4ebd2bf665349a7a0,interact verbally in Occitan,,
368,687671b4ebd2bf665349a7a1,safe use of pesticides,crop and livestock production,687671b3ebd2bf665349a44a
369,687671b4ebd2bf665349a7a2,respond to visitor complaints,responding to complaints,687671b3ebd2bf665349a55e
370,687671b4ebd2bf665349a7a3,interact verbally in Czech,,
371,687671b4ebd2bf665349a7a4,stock tobacco products' machines,"positioning materials, tools or equipment",687671b3ebd2bf665349a4dd
372,687671b4ebd2bf665349a7a5,glass tempering,"materials (glass, paper, plastic and wood)",687671b3ebd2bf665349a439
373,687671b4ebd2bf665349a7a6,electrooptic devices,physics,687671b2ebd2bf665349a417
374,687671b4ebd2bf665349a7a7,electron beam welding machine parts,mechanics and metal trades,687671b3ebd2bf665349a433
375,687671b4ebd2bf665349a7a8,work in an international environment,working in teams,687671b3ebd2bf665349a603
376,687671b4ebd2bf665349a7a9,inspect silo systems,complying with environmental protection laws and standards,687671b3ebd2bf665349a55a
377,687671b4ebd2bf665349a7aa,display betting information,presenting general information,687671b3ebd2bf665349a5db
378,687671b4ebd2bf665349a7ab,ensure compliance with port regulations,complying with operational procedures,687671b3ebd2bf665349a559
379,687671b4ebd2bf665349a7ac,understand written Ukrainian,,
380,687671b4ebd2bf665349a7ad,theories of personality,psychology,687671b2ebd2bf665349a3e7
381,687671b4ebd2bf665349a7ae,inspect drilling equipment,installing wooden and metal components,687671b3ebd2bf665349a53b
382,687671b4ebd2bf665349a7af,respect publication formats,writing and composing,687671b3ebd2bf665349a5a4
383,687671b4ebd2bf665349a7b0,use snow-removal equipment,using hand tools,687671b3ebd2bf665349a546
384,687671b4ebd2bf665349a7b1,create prototype of user experience solutions,managing information,687671b3ebd2bf665349a4e2
385,687671b4ebd2bf665349a7b2,wear cleanroom suit,complying with health and safety procedures,687671b3ebd2bf665349a525
386,687671b4ebd2bf665349a7b3,monitor stamp machine,operating print and photographic production equipment,687671b3ebd2bf665349a5f7
387,687671b4ebd2bf665349a7b4,apply system organisational policies,complying with operational procedures,687671b3ebd2bf665349a559
