informal work in eng,SECTOR,SUBSECTOR
Audio Transcriptionist,Service,Other services
Audio Recording Specialist,Service,Media programming
Audio Equipment Maintenance Technician,Service,Media programming
Audio Technician,Service,Media programming
Audio Transcriber,Service,Other services
Audio Video Production Intern,Service,Media programming
Audio Visual Specialist,Service,Media programming
Audio Visual Editor,Service,Media programming
Audio Visual Technician,Service,Media programming
Audiobook Director,Tourism and art,Culture and Arts Education
Audiobook Narrator,Tourism and art,Culture and Arts Education
Audiologist,Health,Health
Audiometry Technician,Health,Health
Audiovisual Coordinator,Service,Media programming
Audiovisual Equipment Installer and Repairer,Service,Other services
Audiovisual Specialist,Service,Other services
Audit Standards Specialist,Service,Accounting audit and adminstrative works
Audit and Compliance Coordinator,Service,Accounting audit and adminstrative works
Audit and Strategy Specialist,Service,Accounting audit and adminstrative works
Audit Assistant,Service,Accounting audit and adminstrative works
Chief Audit Officer,Service,Accounting audit and adminstrative works
Audit Manager,Service,Accounting audit and adminstrative works
Audit Executive,Service,Accounting audit and adminstrative works
Auditor,Service,Accounting audit and adminstrative works
Audit Team Leader,Service,Accounting audit and adminstrative works
Audit and Compliance Manager,Service,Accounting audit and adminstrative works
Audit and Control Manager,Service,Accounting audit and adminstrative works
Audit and Risk Manager,Service,Accounting audit and adminstrative works
Authentication Developer,ICT and digital work,Software Design Development and Implementation Works
Author,Service,Publishing and book services
Child Caretaker,Service,Social work services
Auto Electrician,Service,Motor vehicle repair work
Auto Body Technician,Service,Motor vehicle repair work
Auto Body Repair Technician,Service,Motor vehicle repair work
Auto Body Shop Manager,Service,Motor vehicle repair work
Auto Garage Manager,Service,Motor vehicle repair work
Auto Mechanic,Service,Motor vehicle repair work
Auto Mechanic Trainee,Service,Motor vehicle repair work
Auto Technician,Service,Motor vehicle repair work
AutoCAD Designer,Service,Engineering Consulting Service
AutoCAD Instructor,Service,"Other not-mentioned educational services (private tutoring, etc.)"
AutoCAD Revit Draftsman,Service,Engineering Consulting Service
Sterilization Technician,Health,Health
Autodesk Revit Instructor,Service,"Other not-mentioned educational services (private tutoring, etc.)"
Automation Engineer,Manufacturing,Manufacture of General Mechanical Engineering Products for Metal Painting works
Automotive Service Attendant,Service,Motor vehicle repair work
Automotive Body Repairer,Service,Motor vehicle repair work
Automotive Content Writer,Service,Advertising
Automotive Electrician,Service,Motor vehicle repair work
Automotive Engineering Technician,Service,Motor vehicle repair work
Automotive Engineer,Economic Infrastructure,Automotive
Automotive Glass Installer,Service,Motor vehicle repair work
Automotive Manager,Economic Infrastructure,Automotive
Automotive Mechanical Engineer,Economic Infrastructure,Automotive
Automotive Service Technicians and Mechanics,Service,Motor vehicle repair work
Automotive Workshop Manager,Service,Motor vehicle repair work
Automotive Workshop Supervisor,Service,Motor vehicle repair work
Auxiliary Machine Mechanic,Manufacturing,Another unmentioned factory works
Auxiliary Machine Operator,Manufacturing,Another unmentioned factory works
Business Development Director,Service,Business Promotion Service
Cartographer,Service,Geo-Spatial / Earth Information / Service
Education Quality Manager,Service,Quality Management Consulting Service
Aviation Inspector,Service,Inspection
Medical Assessor,Health,Health
Certification Inspector,Service,Inspection
Certification Manager,Service,Product certification
Certification Director,Service,Product certification
Safety Analyst,Service,Occupational Safety and Health Care Consulting Service
Security Inspection Director,Service,Security Service
Security Inspection Team Leader,Service,Security Service
Regulatory Expert,Service,Other services
Aviation Technology Manager,Service,Other services
Aviation Technology Professional,Service,Other services
Avionics Technician,Service,Other services
Announcer,Service,Commercial Broadcast Service
Partnership Manager,Service,Business Promotion Service
Awards Specialist,Service,Quality Award Service
Program Development Specialist,Service,Other services
Program Coordinator,Service,Other services
Regional Coordinator,Service,Other services
Cloud Engineer,ICT and digital work,Data Center Hosting Services
DevOps Engineer,ICT and digital work,Software Design Development and Implementation Works
Mechanic,Service,Motor vehicle repair work
Project Manager,Service,Other services
Telesales Executive,Business,Retail trade in specialized stores
Lead Generation Specialist,Service,Business Promotion Service
Sales Agent,Business,Retail trade in specialized stores
Photo Editor,Service,Photographic works
Sitter,Service,Social work services
Event Decorator,Service,Decoration works
Nanny,Service,Social work services
Babysitter,Service,Social work services
Batch Plant Operator,Manufacturing,"Manufacture of concrete, cement and resin products"
Back End Developer,ICT and digital work,Software Design Development and Implementation Works
Backhoe Loader Operator,Construction,Construction land preparation
Backend Developer,ICT and digital work,Software Design Development and Implementation Works
Fullstack Developer,ICT and digital work,Software Design Development and Implementation Works
Backend Developer Intern,ICT and digital work,Software Design Development and Implementation Works
Backend Engineer,ICT and digital work,Software Design Development and Implementation Works
Backend Tester,ICT and digital work,Software Design Development and Implementation Works
Bag Maker,Manufacturing,Manufacture of man-made leather goods
Baggage Porter,"Logistics, transportation and communication",Other supportive transportation services
Baker,Manufacturing,"Bread, cake, Biscuit and Injera baking"
Pastry Chef,Manufacturing,"Bread, cake, Biscuit and Injera baking"
Bakery Manager,Manufacturing,"Bread, cake, Biscuit and Injera baking"
Bamboo Cultivation Specialist,agriculture,Forest development and related services
Bamboo Nursery Specialist,agriculture,Forest development and related services
Seed Distribution Specialist,agriculture,Agriculture
Bamboo Technology Specialist,agriculture,Forest development and related services
Bamboo Worker,agriculture,Forest development and related services
Band Manager,Tourism and art,Music Band
